Unnamed: 0,BC,YT,AB,NT,SK,MB,ON,QC,NL,NB,NS,PE,Total
23,2217,219,952,297,458,297,731,690,100,199,216,8,6496
10-yr avg,1392,116,1181,197,399,342,675,458,96,246,172,6,5380

