locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
1415,Flin Flon,pm25,16.0,"{'utc': '2024-04-21T00:00:00+00:00', 'local': '2024-04-20T19:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,24.9,"{'utc': '2024-04-20T22:00:00+00:00', 'local': '2024-04-20T17:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,22.4,"{'utc': '2024-04-20T21:00:00+00:00', 'local': '2024-04-20T16:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,24.9,"{'utc': '2024-04-20T20:00:00+00:00', 'local': '2024-04-20T15:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,27.0,"{'utc': '2024-04-20T19:00:00+00:00', 'local': '2024-04-20T14:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,28.8,"{'utc': '2024-04-20T17:00:00+00:00', 'local': '2024-04-20T12:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,18.2,"{'utc': '2024-04-20T16:00:00+00:00', 'local': '2024-04-20T11:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,1.8,"{'utc': '2024-04-20T15:00:00+00:00', 'local': '2024-04-20T10:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-3.3,"{'utc': '2024-04-20T02:00:00+00:00', 'local': '2024-04-19T21:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,2.8,"{'utc': '2024-04-20T01:00:00+00:00', 'local': '2024-04-19T20:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,2.4,"{'utc': '2024-04-20T00:00:00+00:00', 'local': '2024-04-19T19:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,1.3,"{'utc': '2024-04-19T23:00:00+00:00', 'local': '2024-04-19T18:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-2.8,"{'utc': '2024-04-16T13:00:00+00:00', 'local': '2024-04-16T08:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-3.5,"{'utc': '2024-04-16T12:00:00+00:00', 'local': '2024-04-16T07:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-2.5,"{'utc': '2024-04-16T11:00:00+00:00', 'local': '2024-04-16T06:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-4.0,"{'utc': '2024-04-16T10:00:00+00:00', 'local': '2024-04-16T05:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-3.4,"{'utc': '2024-04-16T07:00:00+00:00', 'local': '2024-04-16T02:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-3.4,"{'utc': '2024-04-16T06:00:00+00:00', 'local': '2024-04-16T01:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-4.1,"{'utc': '2024-04-16T05:00:00+00:00', 'local': '2024-04-16T00:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-0.8,"{'utc': '2024-04-16T04:00:00+00:00', 'local': '2024-04-15T23:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-0.5,"{'utc': '2024-04-16T03:00:00+00:00', 'local': '2024-04-15T22:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-1.5,"{'utc': '2024-04-16T02:00:00+00:00', 'local': '2024-04-15T21:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,2.4,"{'utc': '2024-04-16T01:00:00+00:00', 'local': '2024-04-15T20:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-2.1,"{'utc': '2024-04-16T00:00:00+00:00', 'local': '2024-04-15T19:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,-2.6,"{'utc': '2024-04-15T23:00:00+00:00', 'local': '2024-04-15T18:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,0.8,"{'utc': '2024-04-15T22:00:00+00:00', 'local': '2024-04-15T17:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,1.4,"{'utc': '2024-04-15T21:00:00+00:00', 'local': '2024-04-15T16:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,0.0,"{'utc': '2024-04-15T20:00:00+00:00', 'local': '2024-04-15T15:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,1.0,"{'utc': '2024-04-15T19:00:00+00:00', 'local': '2024-04-15T14:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,2.6,"{'utc': '2024-04-15T18:00:00+00:00', 'local': '2024-04-15T13:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,0.6,"{'utc': '2024-04-15T17:00:00+00:00', 'local': '2024-04-15T12:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
1415,Flin Flon,pm25,0.1,"{'utc': '2024-04-15T16:00:00+00:00', 'local': '2024-04-15T11:00:00-05:00'}",µg/m³,"{'latitude': 54.76500000000001, 'longitude': -101.8753}",CA,,False,,Governmental Organization,reference grade
