locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
1572,Brandon,pm25,3.2,"{'utc': '2023-11-12T11:00:00+00:00', 'local': '2023-11-12T05:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,4.3,"{'utc': '2023-11-12T10:00:00+00:00', 'local': '2023-11-12T04:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,5.3,"{'utc': '2023-11-12T09:00:00+00:00', 'local': '2023-11-12T03:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,3.8,"{'utc': '2023-11-12T08:00:00+00:00', 'local': '2023-11-12T02:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,4.5,"{'utc': '2023-11-12T07:00:00+00:00', 'local': '2023-11-12T01:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,4.4,"{'utc': '2023-11-12T06:00:00+00:00', 'local': '2023-11-12T00:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,3.9,"{'utc': '2023-11-12T04:00:00+00:00', 'local': '2023-11-11T22:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,4.2,"{'utc': '2023-11-12T03:00:00+00:00', 'local': '2023-11-11T21:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,4.7,"{'utc': '2023-11-12T02:00:00+00:00', 'local': '2023-11-11T20:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,20.6,"{'utc': '2023-11-12T01:00:00+00:00', 'local': '2023-11-11T19:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,18.3,"{'utc': '2023-11-12T00:00:00+00:00', 'local': '2023-11-11T18:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,11.3,"{'utc': '2023-11-11T23:00:00+00:00', 'local': '2023-11-11T17:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,2.7,"{'utc': '2023-11-11T22:00:00+00:00', 'local': '2023-11-11T16:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,3.4,"{'utc': '2023-11-11T21:00:00+00:00', 'local': '2023-11-11T15:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,3.2,"{'utc': '2023-11-11T20:00:00+00:00', 'local': '2023-11-11T14:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,2.4,"{'utc': '2023-11-11T19:00:00+00:00', 'local': '2023-11-11T13:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,2.2,"{'utc': '2023-11-11T18:00:00+00:00', 'local': '2023-11-11T12:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,2.1,"{'utc': '2023-11-11T17:00:00+00:00', 'local': '2023-11-11T11:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,1.8,"{'utc': '2023-11-11T16:00:00+00:00', 'local': '2023-11-11T10:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,3.1,"{'utc': '2023-11-11T15:00:00+00:00', 'local': '2023-11-11T09:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,9.1,"{'utc': '2023-11-11T14:00:00+00:00', 'local': '2023-11-11T08:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,1.1,"{'utc': '2023-11-11T13:00:00+00:00', 'local': '2023-11-11T07:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,2.7,"{'utc': '2023-11-11T12:00:00+00:00', 'local': '2023-11-11T06:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
1572,Brandon,pm25,11.7,"{'utc': '2023-11-11T11:00:00+00:00', 'local': '2023-11-11T05:00:00-06:00'}",µg/m³,"{'latitude': 49.8422, 'longitude': -99.9189}",CA,,False,,Governmental Organization,reference grade
